country,year,u5mr
AFG,2020,69.05
AGO,2020,85.26
ALB,2020,11.15
ARG,2020,10.46
ARM,2020,13.21
AZE,2020,23.44
BDI,2020,65.03
BEN,2020,101.57
BFA,2020,100.88
BGD,2020,35.27
BGR,2020,7.58
BIH,2020,6.78
BLR,2020,3.56
BLZ,2020,14.13
BOL,2020,30.22
BRA,2020,17.12
BTN,2020,32.86
BWA,2020,52.74
CAF,2020,122.48
CHN,2020,9.08
CIV,2020,92.26
CMR,2020,85.83
COD,2020,96.29
COG,2020,60.32
COL,2020,15.63
COM,2020,72.96
CPV,2020,17.12
CRI,2020,9.42
CUB,2020,5.97
DJI,2020,66.41
DMA,2020,40.22
DOM,2020,39.53
DZA,2020,26.77
ECU,2020,15.4
EGY,2020,23.09
ERI,2020,46.65
ETH,2020,58.37
FJI,2020,30.91
FSM,2020,29.18
GAB,2020,49.41
GEO,2020,10.92
GHA,2020,53.31
GIN,2020,112.6
GMB,2020,58.83
GNB,2020,91.46
GNQ,2020,93.3
GRD,2020,18.96
GTM,2020,28.15
GUY,2020,33.67
HND,2020,19.3
HTI,2020,71.47
IDN,2020,27.35
IND,2020,39.53
IRN,2020,15.4
IRQ,2020,29.99
JAM,2020,15.74
JOR,2020,17.81
KAZ,2020,11.6
KEN,2020,49.41
KGZ,2020,21.03
KHM,2020,30.56
KIR,2020,58.83
LAO,2020,52.51
LBN,2020,8.27
LBR,2020,92.38
LBY,2020,13.21
LCA,2020,27.58
LKA,2020,8.27
LSO,2020,104.44
MAR,2020,22.41
MDA,2020,17.01
MDG,2020,59.63
MDV,2020,8.04
MEX,2020,16.2
MHL,2020,36.31
MKD,2020,7.81
MLI,2020,108.24
MMR,2020,51.93
MNE,2020,2.99
MNG,2020,18.38
MOZ,2020,83.76
MRT,2020,83.88
MWI,2020,46.65
MYS,2020,9.88
NAM,2020,48.14
NER,2020,92.26
NGA,2020,134.32
NIC,2020,19.07
NPL,2020,33.67
PAK,2020,77.33
PER,2020,15.28
PHL,2020,31.14
PNG,2020,52.05
PRK,2020,19.88
PRY,2020,22.41
PSE,2020,19.53
RUS,2020,6.66
RWA,2020,48.14
SDN,2020,67.1
SEN,2020,45.62
SLB,2020,22.98
SLE,2020,128.57
SLV,2020,15.28
SOM,2020,135.93
SRB,2020,6.55
SSD,2020,112.49
STP,2020,19.53
SUR,2020,20.8
SWZ,2020,55.15
SYR,2020,25.51
TCD,2020,130.41
TGO,2020,76.41
THA,2020,10.34
TJK,2020,38.26
TKM,2020,48.72
TLS,2020,50.21
TON,2020,13.44
TUN,2020,19.42
TUR,2020,11.6
TUV,2020,26.08
TZA,2020,58.02
UGA,2020,52.05
UKR,2020,9.65
UZB,2020,17.01
VCT,2020,16.78
VEN,2020,27.81
VNM,2020,24.24
VUT,2020,29.41
WSM,2020,19.99
YEM,2020,70.66
ZAF,2020,37.92
ZMB,2020,73.65
ZWE,2020,62.28
AFG,2021,69.05
AGO,2021,85.26
ALB,2021,11.15
ARG,2021,10.46
ARM,2021,13.21
AZE,2021,23.44
BDI,2021,65.03
BEN,2021,101.57
BFA,2021,100.88
BGD,2021,35.27
BGR,2021,7.58
BIH,2021,6.78
BLR,2021,3.56
BLZ,2021,14.13
BOL,2021,30.22
BRA,2021,17.12
BTN,2021,32.86
BWA,2021,52.74
CAF,2021,122.48
CHN,2021,9.08
CIV,2021,92.26
CMR,2021,85.83
COD,2021,96.29
COG,2021,60.32
COL,2021,15.63
COM,2021,72.96
CPV,2021,17.12
CRI,2021,9.42
CUB,2021,5.97
DJI,2021,66.41
DMA,2021,40.22
DOM,2021,39.53
DZA,2021,26.77
ECU,2021,15.4
EGY,2021,23.09
ERI,2021,46.65
ETH,2021,58.37
FJI,2021,30.91
FSM,2021,29.18
GAB,2021,49.41
GEO,2021,10.92
GHA,2021,53.31
GIN,2021,112.6
GMB,2021,58.83
GNB,2021,91.46
GNQ,2021,93.3
GRD,2021,18.96
GTM,2021,28.15
GUY,2021,33.67
HND,2021,19.3
HTI,2021,71.47
IDN,2021,27.35
IND,2021,39.53
IRN,2021,15.4
IRQ,2021,29.99
JAM,2021,15.74
JOR,2021,17.81
KAZ,2021,11.6
KEN,2021,49.41
KGZ,2021,21.03
KHM,2021,30.56
KIR,2021,58.83
LAO,2021,52.51
LBN,2021,8.27
LBR,2021,92.38
LBY,2021,13.21
LCA,2021,27.58
LKA,2021,8.27
LSO,2021,104.44
MAR,2021,22.41
MDA,2021,17.01
MDG,2021,59.63
MDV,2021,8.04
MEX,2021,16.2
MHL,2021,36.31
MKD,2021,7.81
MLI,2021,108.24
MMR,2021,51.93
MNE,2021,2.99
MNG,2021,18.38
MOZ,2021,83.76
MRT,2021,83.88
MWI,2021,46.65
MYS,2021,9.88
NAM,2021,48.14
NER,2021,92.26
NGA,2021,134.32
NIC,2021,19.07
NPL,2021,33.67
PAK,2021,77.33
